"Date","Price","Open","High","Low","Change %"
"Jan 08, 2021","3.6886","3.6827","3.7032","3.6725","0.26%"
"Jan 07, 2021","3.6792","3.6714","3.6959","3.6609","0.34%"
"Jan 06, 2021","3.6667","3.6865","3.6936","3.6516","-0.43%"
"Jan 05, 2021","3.6825","3.7183","3.7234","3.6809","-0.88%"
"Jan 04, 2021","3.7151","3.7408","3.7417","3.6887","-0.69%"
"Jan 01, 2021","3.7408","3.7327","3.7420","3.7256","0.37%"
"Dec 31, 2020","3.7271","3.7260","3.7620","3.6997","0.19%"
"Dec 30, 2020","3.7200","3.7036","3.7461","3.6748","0.52%"
"Dec 29, 2020","3.7008","3.6818","3.7282","3.6565","0.62%"
"Dec 28, 2020","3.6781","3.6978","3.7093","3.6614","-0.43%"
"Dec 25, 2020","3.6938","3.6970","3.7057","3.6897","0.06%"
"Dec 24, 2020","3.6915","3.6955","3.7030","3.6835","0.00%"
"Dec 23, 2020","3.6915","3.7057","3.7095","3.6827","-0.30%"
"Dec 22, 2020","3.7025","3.6690","3.7115","3.6670","1.03%"
"Dec 21, 2020","3.6646","3.6497","3.7322","3.6497","0.56%"
"Dec 18, 2020","3.6443","3.6193","3.6874","3.6153","0.79%"
"Dec 17, 2020","3.6159","3.6366","3.6421","3.6161","-0.46%"
"Dec 16, 2020","3.6327","3.6546","3.6641","3.6260","-0.51%"
"Dec 15, 2020","3.6515","3.6548","3.6675","3.6448","0.02%"
"Dec 14, 2020","3.6507","3.6686","3.6846","3.6400","-0.49%"
"Dec 11, 2020","3.6688","3.6472","3.6776","3.6376","0.74%"
"Dec 10, 2020","3.6419","3.6707","3.6727","3.6411","-0.72%"
"Dec 09, 2020","3.6683","3.6758","3.6811","3.6425","-0.13%"
"Dec 08, 2020","3.6730","3.6924","3.7115","3.6718","-0.46%"
"Dec 07, 2020","3.6901","3.6900","3.7113","3.6744","0.16%"
"Dec 04, 2020","3.6842","3.6798","3.6941","3.6702","0.23%"
"Dec 03, 2020","3.6758","3.6941","3.7090","3.6717","-0.40%"
"Dec 02, 2020","3.6907","3.6855","3.7225","3.6792","0.27%"
"Dec 01, 2020","3.6806","3.7562","3.7582","3.6811","-1.93%"
"Nov 30, 2020","3.7532","3.7499","3.7582","3.7258","0.32%"
"Nov 27, 2020","3.7411","3.7563","3.7724","3.7448","-0.33%"
"Nov 26, 2020","3.7535","3.7482","3.7662","3.7390","0.23%"
"Nov 25, 2020","3.7447","3.7521","3.7668","3.7422","-0.12%"
"Nov 24, 2020","3.7491","3.7758","3.7787","3.7494","-0.65%"
"Nov 23, 2020","3.7737","3.7713","3.7949","3.7519","0.21%"
"Nov 20, 2020","3.7659","3.7619","3.7748","3.7547","0.20%"
"Nov 19, 2020","3.7584","3.7682","3.7929","3.7582","-0.20%"
"Nov 18, 2020","3.7659","3.7849","3.7903","3.7565","-0.41%"
"Nov 17, 2020","3.7814","3.7739","3.7957","3.7657","0.29%"
"Nov 16, 2020","3.7703","3.7882","3.7985","3.7627","-0.39%"
"Nov 13, 2020","3.7851","3.8041","3.8138","3.7847","-0.45%"
"Nov 12, 2020","3.8021","3.8068","3.8203","3.7913","-0.04%"
"Nov 11, 2020","3.8036","3.8061","3.8212","3.7954","-0.01%"
"Nov 10, 2020","3.8039","3.7967","3.8254","3.7808","0.21%"
"Nov 09, 2020","3.7959","3.7945","3.8035","3.7468","0.14%"
"Nov 06, 2020","3.7905","3.8289","3.8431","3.7859","-0.92%"
"Nov 05, 2020","3.8257","3.8749","3.8799","3.8038","-1.18%"
"Nov 04, 2020","3.8713","3.8762","3.9555","3.8545","-0.05%"
"Nov 03, 2020","3.8733","3.9527","3.9583","3.8688","-1.95%"
"Nov 02, 2020","3.9505","3.9558","3.9736","3.9446","-0.05%"
"Oct 30, 2020","3.9524","3.9612","3.9711","3.9446","-0.19%"
"Oct 29, 2020","3.9600","3.9447","3.9718","3.9283","0.46%"
"Oct 28, 2020","3.9420","3.8890","3.9564","3.8852","1.40%"
"Oct 27, 2020","3.8876","3.8774","3.8925","3.8656","0.36%"
"Oct 26, 2020","3.8737","3.8518","3.8863","3.8484","0.64%"
"Oct 23, 2020","3.8489","3.8705","3.8901","3.8482","-0.54%"
"Oct 22, 2020","3.8698","3.8525","3.8837","3.8486","0.60%"
"Oct 21, 2020","3.8467","3.8594","3.8800","3.8372","-0.24%"
"Oct 20, 2020","3.8560","3.8879","3.9011","3.8526","-0.70%"
"Oct 19, 2020","3.8830","3.8812","3.8907","3.8717","0.17%"
"Oct 16, 2020","3.8763","3.8882","3.9056","3.8679","-0.20%"
"Oct 15, 2020","3.8841","3.8440","3.9014","3.8365","1.09%"
"Oct 14, 2020","3.8422","3.8270","3.8552","3.8180","0.45%"
"Oct 13, 2020","3.8250","3.7733","3.8338","3.7695","1.48%"
"Oct 12, 2020","3.7691","3.7778","3.8042","3.7702","-0.16%"
"Oct 09, 2020","3.7751","3.8180","3.8223","3.7693","-1.07%"
"Oct 08, 2020","3.8159","3.8114","3.8266","3.7991","0.19%"
"Oct 07, 2020","3.8087","3.8268","3.8318","3.8024","-0.40%"
"Oct 06, 2020","3.8239","3.8152","3.8301","3.7946","0.29%"
"Oct 05, 2020","3.8129","3.8456","3.8473","3.8044","-0.73%"
"Oct 02, 2020","3.8410","3.8154","3.8540","3.8111","0.75%"
"Oct 01, 2020","3.8125","3.8670","3.8694","3.8052","-1.34%"
"Sep 30, 2020","3.8643","3.8549","3.8921","3.8479","0.32%"
"Sep 29, 2020","3.8521","3.9316","3.9417","3.8477","-1.91%"
"Sep 28, 2020","3.9273","3.9139","3.9383","3.8949","0.48%"
"Sep 25, 2020","3.9085","3.9019","3.9254","3.8903","0.20%"
"Sep 24, 2020","3.9007","3.8731","3.9218","3.8623","0.77%"
"Sep 23, 2020","3.8708","3.8342","3.8777","3.8263","1.09%"
"Sep 22, 2020","3.8290","3.8180","3.8526","3.8087","0.33%"
"Sep 21, 2020","3.8163","3.7675","3.8356","3.7517","1.40%"
"Sep 18, 2020","3.7636","3.7592","3.7717","3.7474","0.20%"
"Sep 17, 2020","3.7560","3.7662","3.7943","3.7557","-0.22%"
"Sep 16, 2020","3.7643","3.7611","3.7748","3.7420","0.15%"
"Sep 15, 2020","3.7588","3.7483","3.7646","3.7292","0.37%"
"Sep 14, 2020","3.7450","3.7538","3.7627","3.7408","-0.15%"
"Sep 11, 2020","3.7505","3.7689","3.7725","3.7453","-0.45%"
"Sep 10, 2020","3.7675","3.7637","3.7786","3.7327","0.15%"
"Sep 09, 2020","3.7620","3.7835","3.7924","3.7550","-0.47%"
"Sep 08, 2020","3.7797","3.7550","3.7891","3.7473","0.77%"
"Sep 07, 2020","3.7510","3.7640","3.7778","3.7485","-0.26%"
"Sep 04, 2020","3.7608","3.7448","3.7945","3.7391","0.52%"
"Sep 03, 2020","3.7415","3.7218","3.7621","3.7194","0.60%"
