"Date","Price","Open","High","Low","Change %"
"Nov 03, 2014","6.1183","6.1171","6.1191","6.1162","0.09%"
"Oct 31, 2014","6.1127","6.1152","6.1152","6.1075","-0.03%"
"Oct 30, 2014","6.1145","6.1158","6.1165","6.1130","0.05%"
"Oct 29, 2014","6.1112","6.1135","6.1135","6.1082","-0.03%"
"Oct 28, 2014","6.1133","6.1166","6.1166","6.1115","-0.05%"
"Oct 27, 2014","6.1165","6.1164","6.1172","6.1130","-0.01%"
"Oct 24, 2014","6.1170","6.1193","6.1223","6.1155","-0.04%"
"Oct 23, 2014","6.1195","6.1180","6.1210","6.1179","0.02%"
"Oct 22, 2014","6.1182","6.1218","6.1218","6.1165","-0.05%"
"Oct 21, 2014","6.1210","6.1229","6.1242","6.1190","-0.04%"
"Oct 20, 2014","6.1235","6.1237","6.1251","6.1217","-0.01%"
"Oct 17, 2014","6.1240","6.1232","6.1270","6.1228","0.01%"
"Oct 16, 2014","6.1233","6.1235","6.1251","6.1215","-0.04%"
"Oct 15, 2014","6.1259","6.1252","6.1290","6.1242","0.01%"
"Oct 14, 2014","6.1255","6.1250","6.1263","6.1224","0.00%"
"Oct 13, 2014","6.1255","6.1305","6.1315","6.1243","-0.09%"
"Oct 10, 2014","6.1311","6.1298","6.1347","6.1295","0.01%"
"Oct 09, 2014","6.1302","6.1321","6.1344","6.1290","-0.14%"
"Oct 08, 2014","6.1390","6.1390","6.1398","6.1333","0.00%"
"Oct 07, 2014","6.1390","6.1390","6.1390","6.1390","0.00%"
"Oct 06, 2014","6.1390","6.1390","6.1390","6.1390","0.00%"
"Oct 03, 2014","6.1390","6.1390","6.1390","6.1390","0.01%"
"Oct 02, 2014","6.1385","6.1385","6.1385","6.1385","0.00%"
"Oct 01, 2014","6.1385","6.1385","6.1385","6.1385","0.00%"
"Sep 30, 2014","6.1385","6.1496","6.1530","6.1385","-0.19%"
"Sep 29, 2014","6.1500","6.1260","6.1506","6.1260","0.37%"
"Sep 26, 2014","6.1271","6.1370","6.1372","6.1243","-0.15%"
"Sep 25, 2014","6.1360","6.1350","6.1401","6.1340","-0.01%"
"Sep 24, 2014","6.1366","6.1395","6.1395","6.1348","-0.02%"
"Sep 23, 2014","6.1378","6.1410","6.1436","6.1378","-0.04%"
"Sep 22, 2014","6.1405","6.1410","6.1417","6.1373","-0.01%"
"Sep 19, 2014","6.1410","6.1418","6.1418","6.1368","0.01%"
"Sep 18, 2014","6.1405","6.1401","6.1462","6.1401","0.02%"
"Sep 17, 2014","6.1390","6.1464","6.1464","6.1382","-0.12%"
"Sep 16, 2014","6.1461","6.1492","6.1534","6.1455","0.07%"
"Sep 15, 2014","6.1420","6.1390","6.1443","6.1378","0.12%"
"Sep 12, 2014","6.1347","6.1307","6.1364","6.1307","0.08%"
"Sep 11, 2014","6.1300","6.1316","6.1328","6.1288","0.01%"
"Sep 10, 2014","6.1294","6.1337","6.1337","6.1281","-0.11%"
"Sep 09, 2014","6.1364","6.1412","6.1412","6.1311","-0.07%"
"Sep 08, 2014","6.1405","6.1405","6.1405","6.1405","0.00%"
"Sep 05, 2014","6.1405","6.1436","6.1436","6.1370","0.03%"
"Sep 04, 2014","6.1386","6.1378","6.1395","6.1333","-0.04%"
"Sep 03, 2014","6.1410","6.1467","6.1484","6.1397","-0.12%"
"Sep 02, 2014","6.1482","6.1433","6.1486","6.1421","0.10%"
"Sep 01, 2014","6.1420","6.1442","6.1448","6.1382","-0.02%"
"Aug 29, 2014","6.1433","6.1425","6.1474","6.1424","0.01%"
"Aug 28, 2014","6.1428","6.1423","6.1443","6.1406","-0.01%"
"Aug 27, 2014","6.1433","6.1482","6.1496","6.1416","-0.15%"
"Aug 26, 2014","6.1525","6.1539","6.1562","6.1509","-0.03%"
"Aug 25, 2014","6.1544","6.1537","6.1555","6.1489","0.05%"
"Aug 22, 2014","6.1515","6.1585","6.1614","6.1514","0.00%"
"Aug 21, 2014","6.1515","6.1465","6.1552","6.1454","0.19%"
"Aug 20, 2014","6.1400","6.1431","6.1474","6.1398","-0.02%"
"Aug 19, 2014","6.1413","6.1432","6.1445","6.1360","-0.03%"
"Aug 18, 2014","6.1430","6.1475","6.1491","6.1420","-0.07%"
"Aug 15, 2014","6.1472","6.1493","6.1508","6.1442","-0.09%"
"Aug 14, 2014","6.1525","6.1543","6.1557","6.1504","-0.02%"
"Aug 13, 2014","6.1536","6.1588","6.1625","6.1534","-0.07%"
"Aug 12, 2014","6.1580","6.1533","6.1588","6.1530","0.07%"
"Aug 11, 2014","6.1534","6.1568","6.1568","6.1520","-0.05%"
"Aug 08, 2014","6.1562","6.1625","6.1625","6.1546","-0.10%"
"Aug 07, 2014","6.1621","6.1625","6.1630","6.1556","-0.01%"
"Aug 06, 2014","6.1630","6.1719","6.1723","6.1623","-0.12%"
"Aug 05, 2014","6.1707","6.1775","6.1782","6.1703","-0.13%"
"Aug 04, 2014","6.1785","6.1799","6.1827","6.1750","-0.02%"
"Aug 01, 2014","6.1798","6.1742","6.1806","6.1726","0.09%"
"Jul 31, 2014","6.1740","6.1715","6.1763","6.1699","0.04%"
"Jul 30, 2014","6.1715","6.1803","6.1825","6.1710","-0.15%"
"Jul 29, 2014","6.1805","6.1867","6.1867","6.1795","-0.11%"
"Jul 28, 2014","6.1875","6.1916","6.1916","6.1845","-0.07%"
"Jul 25, 2014","6.1917","6.1947","6.1974","6.1898","-0.05%"
"Jul 24, 2014","6.1947","6.1985","6.1985","6.1908","-0.07%"
"Jul 23, 2014","6.1988","6.2040","6.2040","6.1978","-0.07%"
