date,bitcoin,ethereum,litecoin,xrp
2016-02-03,1439.760264,9.27573405,11.8054797,0.02691079505
2016-02-04,1417.042609,9.66077905,11.6899662,0.0263293771
2016-02-05,1504.1782925,9.9264601,12.0981139,0.02554003485
2016-02-06,1488.044907,9.7570403,12.03265625,0.030418555
2016-02-07,1450.387506,9.7416385,11.88633915,0.0308036
2016-02-08,1455.239073,11.37807975,11.88633915,0.0312733549
2016-02-09,1434.7931835,12.31758955,11.78622745,0.0312733549
2016-02-10,1445.150894,14.31982355,11.84783465,0.02834316245
2016-02-11,1470.409846,17.14605385,11.91714275,0.0284471246
2016-02-12,1461.0532525,23.0410928,11.70151755,0.03153903595
2016-02-13,1478.726818,21.18902635,11.90174095,0.0305725729999999
2016-02-14,1502.060545,20.12630215,12.013404,0.0324977979999999
2016-02-15,1561.357475,19.7374067,12.30218775,0.0316121945
2016-02-16,1544.2999815,20.2918715,12.09426345,0.0321512574999999
2016-02-17,1564.899889,16.69940165,12.2290292,0.0312271494999999
2016-02-18,1606.1767129999998,14.246665,12.42540215,0.0287089552
2016-02-19,1622.57963,16.664747600000002,12.4446544,0.0324977979999999
2016-02-20,1617.111991,17.26926825,12.4523553,0.03264796555
2016-02-21,1694.429027,16.52998185,13.1839408,0.0304031532
2016-02-22,1685.9965415,18.0586105,13.14928675,0.0320049404
2016-02-23,1685.6885055,21.72808935,13.28020205,0.0319972394999999
2016-02-24,1616.803955,21.56637045,13.0068201,0.0313811674999999
2016-02-25,1627.6622240000002,23.6494639,12.90285795,0.0302260324999999
2016-02-26,1630.588566,22.84471985,12.9144093,0.0317046053
2016-02-27,1645.374294,22.85242075,13.02607235,0.03166995125
2016-02-28,1660.699085,24.44650705,13.02607235,0.0304416577
2016-02-29,1665.2041115000002,24.79304755,13.09538045,0.03140041975
2016-03-01,1679.6047944999998,24.25398455,13.0992309,0.0311886449999999
2016-03-02,1671.249318,29.3635317,13.1762399,0.0318740251
2016-03-03,1637.827412,32.37843405,12.9452129,0.0311655423
2016-03-04,1615.494802,36.5099669,12.7372886,0.0304262558999999
2016-03-05,1576.682266,38.6970225,12.4446544,0.0305648721
2016-03-06,1536.32955,42.6244815,12.2521319,0.0282700038999999
2016-03-07,1563.1286819999998,42.7784995,12.32144,0.0290708975
2016-03-08,1597.4361915,36.3405471,12.47160755,0.0295406524
2016-03-09,1586.000355,37.44562625,12.41770125,0.03003351
2016-03-10,1589.311742,45.820355,12.5216634,0.0311886449999999
2016-03-11,1601.1326235,43.048031,12.58712105,0.03157754045
2016-03-12,1613.7620995,43.1635445,12.9067084,0.0354934481
2016-03-13,1580.070662,51.48051649999999,12.55631745,0.031342663
2016-03-14,1587.9640845,57.602732,12.64872825,0.0315043818999999
2016-03-15,1595.2799395,48.207634,12.64872825,0.031958735
2016-03-16,1598.4373085,49.6323005,12.67183095,0.0303030415
2016-03-17,1601.4406595,49.439778,12.66413005,0.03154673685
2016-03-18,1610.104172,42.277941,12.6217751,0.0311886449999999
2016-03-19,1571.599672,41.276824000000005,12.18667425,0.0318894269
2016-03-20,1573.6404105,40.198698,12.209776949999998,0.030110519
2016-03-21,1584.5756884999998,39.0050585,12.2829355,0.0299565009999999
2016-03-22,1582.9584995,45.7818505,12.2829355,0.030495564
2016-03-23,1602.5957944999998,43.3175625,12.398449,0.03047631175
2016-03-24,1605.560641,47.668571,12.398449,0.0322706214499999
2016-03-25,1596.935633,42.817004,12.255982349999998,0.03242463945
2016-03-26,1600.6705694999998,40.9302835,12.36379495,0.0316198954
2016-03-27,1603.7509295,42.4704635,12.34839315,0.0312964576
2016-03-28,1634.7855565,39.8521575,12.61792465,0.03027608835
2016-03-29,1625.6984945,44.896247,12.51781295,0.02821994805
