"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 09, 2020","11,579.94","11,487.60","11,581.23","11,476.66","729.77M","1.39%"
"Oct 08, 2020","11,420.98","11,443.35","11,448.23","11,384.33","715.15M","0.50%"
"Oct 07, 2020","11,364.60","11,271.68","11,380.56","11,258.35","834.93M","1.88%"
"Oct 06, 2020","11,154.60","11,314.53","11,392.41","11,124.45","936.32M","-1.57%"
"Oct 05, 2020","11,332.49","11,169.10","11,335.21","11,162.52","781.32M","2.32%"
"Oct 02, 2020","11,075.02","11,082.53","11,244.87","11,033.69","810.86M","-2.22%"
"Oct 01, 2020","11,326.51","11,291.99","11,344.13","11,240.53","843.82M","1.42%"
"Sep 30, 2020","11,167.51","11,092.90","11,277.96","11,092.90","1.02B","0.74%"
"Sep 29, 2020","11,085.25","11,109.00","11,153.23","11,065.63","763.32M","-0.29%"
"Sep 28, 2020","11,117.52","11,084.38","11,120.80","11,019.14","840.42M","1.87%"
"Sep 25, 2020","10,913.56","10,680.46","10,939.55","10,639.98","820.01M","2.26%"
"Sep 24, 2020","10,672.27","10,551.02","10,799.55","10,520.22","923.44M","0.37%"
"Sep 23, 2020","10,632.99","10,950.83","10,962.02","10,612.92","962.40M","-3.02%"
"Sep 22, 2020","10,963.64","10,873.30","10,979.65","10,737.52","845.80M","1.71%"
"Sep 21, 2020","10,778.80","10,610.14","10,782.74","10,519.49","1.02B","-0.13%"
"Sep 18, 2020","10,793.28","10,973.45","10,977.68","10,639.95","2.41B","-1.07%"
"Sep 17, 2020","10,910.28","10,796.05","10,974.45","10,783.81","936.99M","-1.27%"
"Sep 16, 2020","11,050.47","11,222.08","11,245.42","11,046.43","923.76M","-1.25%"
"Sep 15, 2020","11,190.32","11,193.96","11,244.46","11,127.98","828.01M","1.21%"
"Sep 14, 2020","11,056.65","11,010.14","11,118.28","10,982.26","882.03M","1.87%"
"Sep 11, 2020","10,853.55","11,010.07","11,033.05","10,728.03","817.03M","-0.60%"
"Sep 10, 2020","10,919.59","11,235.53","11,299.53","10,875.02","898.02M","-1.99%"
"Sep 09, 2020","11,141.56","11,064.76","11,217.69","10,970.45","861.84M","2.71%"
"Sep 08, 2020","10,847.69","10,900.69","11,131.50","10,837.20","984.13M","-4.11%"
"Sep 04, 2020","11,313.13","11,396.24","11,531.18","10,875.87","1.02B","-1.27%"
"Sep 03, 2020","11,458.10","11,861.90","11,894.40","11,361.35","1.05B","-4.96%"
"Sep 02, 2020","12,056.44","12,047.26","12,074.07","11,836.18","903.54M","0.98%"
"Sep 01, 2020","11,939.67","11,850.96","11,945.72","11,794.78","812.61M","1.39%"
"Aug 31, 2020","11,775.46","11,718.81","11,829.84","11,697.42","940.53M","0.68%"
"Aug 28, 2020","11,695.63","11,689.28","11,708.77","11,634.77","694.25M","0.60%"
"Aug 27, 2020","11,625.34","11,688.19","11,730.01","11,551.01","773.52M","-0.34%"
"Aug 26, 2020","11,665.06","11,516.62","11,672.05","11,507.46","738.61M","1.73%"
"Aug 25, 2020","11,466.47","11,370.23","11,468.26","11,343.04","719.87M","0.76%"
"Aug 24, 2020","11,379.72","11,449.25","11,462.05","11,297.53","837.05M","0.60%"
"Aug 21, 2020","11,311.80","11,258.44","11,326.22","11,245.44","879.96M","0.42%"
"Aug 20, 2020","11,264.95","11,096.40","11,283.62","11,090.03","830.32M","1.06%"
"Aug 19, 2020","11,146.46","11,214.80","11,257.42","11,132.10","752.24M","-0.57%"
"Aug 18, 2020","11,210.84","11,170.75","11,230.61","11,103.83","736.48M","0.73%"
"Aug 17, 2020","11,129.73","11,083.25","11,144.53","11,080.30","741.24M","1.00%"
"Aug 14, 2020","11,019.30","11,042.24","11,058.44","10,972.06","729.02M","-0.21%"
"Aug 13, 2020","11,042.50","11,026.86","11,124.85","11,007.50","750.92M","0.27%"
"Aug 12, 2020","11,012.24","10,878.11","11,036.72","10,877.16","811.57M","2.13%"
"Aug 11, 2020","10,782.82","10,942.66","10,989.42","10,762.71","969.23M","-1.69%"
"Aug 10, 2020","10,968.36","11,033.73","11,040.24","10,849.46","894.84M","-0.39%"
"Aug 07, 2020","11,010.98","11,072.53","11,126.04","10,920.37","891.08M","-0.87%"
"Aug 06, 2020","11,108.07","10,989.98","11,121.19","10,963.41","876.41M","1.00%"
"Aug 05, 2020","10,998.40","10,967.87","11,002.11","10,943.72","887.01M","0.52%"
"Aug 04, 2020","10,941.17","10,897.89","10,941.91","10,852.90","886.04M","0.35%"
"Aug 03, 2020","10,902.80","10,848.64","10,927.56","10,831.15","904.39M","1.47%"
"Jul 31, 2020","10,745.27","10,741.47","10,747.80","10,557.70","1.09B","1.49%"
"Jul 30, 2020","10,587.81","10,450.12","10,609.59","10,412.09","897.26M","0.43%"
"Jul 29, 2020","10,542.94","10,474.70","10,567.91","10,464.00","878.49M","1.35%"
"Jul 28, 2020","10,402.09","10,509.20","10,523.64","10,397.87","811.00M","-1.27%"
"Jul 27, 2020","10,536.27","10,421.70","10,546.43","10,399.86","912.98M","1.67%"
"Jul 24, 2020","10,363.18","10,294.41","10,418.75","10,217.31","909.49M","-0.94%"
"Jul 23, 2020","10,461.42","10,689.50","10,728.12","10,407.87","990.59M","-2.29%"
"Jul 22, 2020","10,706.13","10,687.58","10,745.32","10,627.45","841.40M","0.24%"
"Jul 21, 2020","10,680.36","10,837.88","10,839.93","10,650.46","1.06B","-0.81%"
"Jul 20, 2020","10,767.09","10,526.02","10,783.80","10,488.04","937.33M","2.51%"
"Jul 17, 2020","10,503.19","10,500.52","10,532.62","10,421.20","951.84M","0.28%"
"Jul 16, 2020","10,473.83","10,443.87","10,499.79","10,364.39","873.49M","-0.73%"
"Jul 15, 2020","10,550.49","10,576.72","10,604.67","10,420.54","1.04B","0.59%"
"Jul 14, 2020","10,488.58","10,310.25","10,497.83","10,182.46","974.17M","0.94%"
"Jul 13, 2020","10,390.84","10,729.92","10,824.78","10,368.04","1.08B","-2.13%"
"Jul 10, 2020","10,617.44","10,545.91","10,622.35","10,447.01","781.92M","0.66%"
"Jul 09, 2020","10,547.75","10,563.72","10,578.10","10,379.91","901.21M","0.53%"
"Jul 08, 2020","10,492.50","10,409.35","10,494.64","10,350.96","901.93M","1.44%"
"Jul 07, 2020","10,343.89","10,412.46","10,518.98","10,337.98","946.99M","-0.86%"
