"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2013","21.425","22.255","22.325","20.215","-","-4.09%"
"May 17, 2013","22.339","22.630","22.630","22.160","0.10K","-1.34%"
"May 16, 2013","22.643","22.680","22.710","22.075","0.25K","0.00%"
"May 15, 2013","22.643","23.240","23.240","22.480","0.14K","-3.05%"
"May 14, 2013","23.355","23.220","23.525","23.220","0.06K","-1.33%"
"May 13, 2013","23.670","23.710","23.720","23.490","0.10K","0.01%"
"May 12, 2013","23.668","23.822","23.835","23.653","-","0.15%"
"May 10, 2013","23.632","23.635","23.750","23.140","0.47K","-1.03%"
"May 09, 2013","23.879","24.025","24.055","23.600","0.29K","-0.05%"
"May 08, 2013","23.892","23.830","23.915","23.615","0.11K","0.51%"
"May 07, 2013","23.771","23.970","23.970","23.385","0.60K","-0.61%"
"May 06, 2013","23.918","24.095","24.375","23.845","0.28K","-0.71%"
"May 05, 2013","24.090","24.133","24.153","24.033","-","0.48%"
"May 03, 2013","23.975","23.750","24.300","23.605","0.24K","0.78%"
"May 02, 2013","23.790","23.560","24.000","23.355","1.08K","2.08%"
"May 01, 2013","23.305","24.250","24.275","23.230","1.65K","-3.47%"
"Apr 30, 2013","24.144","24.505","24.510","23.985","2.04K","0.09%"
"Apr 29, 2013","24.122","23.970","24.550","23.915","19.71K","0.41%"
"Apr 28, 2013","24.023","24.065","24.123","23.945","-","1.12%"
"Apr 26, 2013","23.758","24.095","24.100","23.955","0.01K","-1.58%"
"Apr 25, 2013","24.140","23.600","24.200","23.600","0.01K","5.74%"
"Apr 24, 2013","22.829","22.965","22.990","22.965","0.00K","0.07%"
"Apr 23, 2013","22.813","23.200","23.200","22.790","0.00K","-2.17%"
"Apr 22, 2013","23.320","23.100","23.435","23.095","0.03K","0.45%"
"Apr 21, 2013","23.215","23.322","23.322","23.180","-","1.13%"
"Apr 19, 2013","22.955","23.745","23.770","23.080","0.02K","-1.22%"
"Apr 18, 2013","23.239","22.600","23.500","22.600","0.00K","-0.27%"
"Apr 17, 2013","23.301","23.100","23.100","23.100","0.01K","-1.36%"
