"date","open","high","low","value","volume","date_fmt","interval"
"2020-04-28","0.76161901","0.841323325","0.75006766","0.82784675","281575265.029277","2020-04-28","histoday"
"2020-04-29","0.82784675","0.889838995","0.824381345","0.87328206","328515948.963511","2020-04-29","histoday"
"2020-04-30","0.87328206","0.908321155","0.8028188249999999","0.81475522","374018224.911785","2020-04-30","histoday"
"2020-05-01","0.81475522","0.86404098","0.814370175","0.839013055","258784783.73460746","2020-05-01","histoday"
"2020-05-02","0.839013055","0.869046565","0.829771975","0.8621157549999999","133152275.79864651","2020-05-02","histoday"
"2020-05-03","0.8621157549999999","0.872897015","0.831312155","0.84478873","111886088.625403","2020-05-03","histoday"
"2020-05-04","0.84478873","0.849794315","0.79858333","0.839783145","195854978.4174425","2020-05-04","histoday"
"2020-05-05","0.839783145","0.856725125","0.82168603","0.83631774","196724477.9493805","2020-05-05","histoday"
"2020-05-06","0.83631774","0.85788026","0.8105197249999999","0.815910355","219015524.49788252","2020-05-06","histoday"
"2020-05-07","0.815910355","0.85094945","0.8085945","0.8424784599999999","229939092.9713965","2020-05-07","histoday"
"2020-05-08","0.8424784599999999","0.8559550349999999","0.8259215249999999","0.8424784599999999","228756566.5631775","2020-05-08","histoday"
"2020-05-09","0.8424784599999999","0.86635125","0.83092711","0.833622425","163901530.970896","2020-05-09","histoday"
"2020-05-10","0.833622425","0.833622425","0.69693145","0.760463875","218930996.1466","2020-05-10","histoday"
"2020-05-11","0.760463875","0.771245135","0.713488385","0.74390694","213266400.237353","2020-05-11","histoday"
"2020-05-12","0.74390694","0.77009","0.73697613","0.7593087399999999","176526531.7083745","2020-05-12","histoday"
"2020-05-13","0.7593087399999999","0.786646935","0.75391811","0.7774058549999999","157221462.197887","2020-05-13","histoday"
"2020-05-14","0.7774058549999999","0.79473288","0.76469937","0.7854918","225252102.17482802","2020-05-14","histoday"
"2020-05-15","0.7854918","0.7885721600000001","0.75006766","0.7620040549999999","219310590.8731295","2020-05-15","histoday"
"2020-05-16","0.7620040549999999","0.7777909000000001","0.7566134250000001","0.7685498199999999","91440407.7812885","2020-05-16","histoday"
"2020-05-17","0.7685498199999999","0.7881871149999999","0.765854505","0.775095585","70296575.3950825","2020-05-17","histoday"
"2020-05-18","0.775095585","0.801278645","0.77471054","0.79088243","180675154.54967248","2020-05-18","histoday"
"2020-05-19","0.79088243","0.795888015","0.7731703600000001","0.789727295","194967208.4232455","2020-05-19","histoday"
"2020-05-20","0.789727295","0.7939627899999999","0.76007883","0.77625072","190352546.866756","2020-05-20","histoday"
"2020-05-21","0.77625072","0.782026395","0.72850514","0.7473723449999999","215850321.2953035","2020-05-21","histoday"
"2020-05-22","0.7473723449999999","0.779716125","0.738901355","0.77086009","201417143.847195","2020-05-22","histoday"
"2020-05-23","0.77086009","0.778946035","0.7623891","0.765854505","87736239.72668","2020-05-23","histoday"
"2020-05-24","0.765854505","0.775095585","0.74236676","0.74236676","66470167.566378","2020-05-24","histoday"
"2020-05-25","0.74236676","0.759693785","0.714258475","0.755843335","156516077.469957","2020-05-25","histoday"
"2020-05-26","0.755843335","0.75853865","0.73697613","0.74544712","170258814.0946215","2020-05-26","histoday"
"2020-05-27","0.74544712","0.770475045","0.74544712","0.762774145","185771638.47048","2020-05-27","histoday"
"2020-05-28","0.762774145","0.77394045","0.75006766","0.771245135","182067654.813922","2020-05-28","histoday"
"2020-05-29","0.771245135","0.781256305","0.7554582900000001","0.760463875","171101356.4720915","2020-05-29","histoday"
"2020-05-30","0.760463875","0.79935342","0.7546882","0.7970431499999999","74331109.287367","2020-05-30","histoday"
"2020-05-31","0.7970431499999999","0.822071075","0.77471054","0.77933108","78174771.329062","2020-05-31","histoday"
"2020-06-01","0.77933108","0.818990715","0.775095585","0.812829995","115597399.76532","2020-06-01","histoday"
"2020-06-02","0.812829995","0.8259215249999999","0.760463875","0.78241144","244592178.01298597","2020-06-02","histoday"
"2020-06-03","0.78241144","0.7881871149999999","0.773555405","0.7854918","169489993.2799505","2020-06-03","histoday"
"2020-06-04","0.7854918","0.7974281950000001","0.773555405","0.78703198","183119382.0902175","2020-06-04","histoday"
"2020-06-05","0.78703198","0.79165252","0.775095585","0.78010117","151300214.004827","2020-06-05","histoday"
